Now,Wed Feb 01 2023 14:22:15 GMT+0000 (Greenwich Mean Time)
Post URL,https://www.tiktok.com/@complex/video/6833759604237798662
Publisher Nickname,Complex
Publisher @,complex
Publisher URL,https://www.tiktok.com/@complex
Publish Time,2-6-2020
Post Likes,4.4M
Post Shares,N/A
Description,"🖤 #blacklivesmatter @thehighlyeducated"
Number of 1st level comments,1127
Number of 2nd level comments,306
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",1433
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),50.4K
Difference,1383
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
15,"Witch foots biggest fan 😻😻😻","witch_f00ts_biggest_fan",https://www.tiktok.com/@witch_f00ts_biggest_fan,"You don’t know that this isn’t just about George Floyed it’s about breonna Taylor Elijah McCain and many more",21-7-2020,157,"https://p77-sign-va.tiktokcdn.com/tos-maliva-avt-0068/71870ab25deee27159f50bb58b14238c~c5_100x100.jpg?x-expires=1675346400&x-signature=RD5bconYDsWla6jZkSnYrJi%2BGPU%3D",Yes,"darkhumorisfun",0
16,"Uh.gabby","gabbeye",https://www.tiktok.com/@gabbeye,"All he would want is just for cops and all lives to be happy. And maybe just for the officer that hurt him to just think. He never wanted violence",28-7-2020,10,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9402ec4a5752f80d043fdfc9a85d7cd2~c5_100x100.jpg?x-expires=1675346400&x-signature=wG9KZlgEAUO9r87l0C%2F1cUUmpwo%3D",Yes,"darkhumorisfun",0
17,"Manos Aronis","manosaronis",https://www.tiktok.com/@manosaronis,"Ich bin echt gespannt, ob das noch eskalieren wird...",3-6-2020,17.1K,"https://p77-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/846b101063912ce02d2a5a9343205edb.jpg?x-expires=1675346400&x-signature=TZDJxW6YNfh8p8iNMba2CldWNMI%3D",No,---,3
18,"Νικήτα","_._._._._._._nikita_._._",https://www.tiktok.com/@_._._._._._._nikita_._._,"Ist es schon hahaha",3-6-2020,1308,"https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/6388c0a2c04d07439869dd0550773b66~c5_100x100.jpg?x-expires=1675346400&x-signature=zhNRB0yCmJvMydf3QD14FXrbayI%3D",Yes,"Manos Aronis",0
19,"Kiara","kiara.hsm",https://www.tiktok.com/@kiara.hsm,"Isso",4-6-2020,61,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b57ac2887f0b86d96d5867c65a669e63~c5_100x100.jpg?x-expires=1675346400&x-signature=sKY0eLNjgEo7a4t3f3SKbNRw8y0%3D",Yes,"Manos Aronis",0
20,"🐺","anonymgeblieben_",https://www.tiktok.com/@anonymgeblieben_,"Es wird n Bürgerkrieg geben glaube ich",3-6-2020,20,"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/b0e191c2bbed38cbf6febac68bdbcd54~c5_100x100.jpg?x-expires=1675346400&x-signature=B9d9ZJ%2BE1iaHrB7QG%2B%2FhaLZQZ4Q%3D",Yes,"Manos Aronis",0
21,"mbahaya","mbahaya300h",https://www.tiktok.com/@mbahaya300h,"kalo di indo masih dilawan tuh polisinya gk mandang jumlah",3-6-2020,16.4K,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/e8fe52910a05a8528c1e7c4084cd5c4a.jpg?x-expires=1675346400&x-signature=lUQQJVuHEcil4oAkJj1qasc2HB0%3D",No,---,3
22,"biawak gurun","patimedan1bb",https://www.tiktok.com/@patimedan1bb,"Disana walaupun udh demo,masih punya tatakrama, ga kayak indo",3-6-2020,1195,"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/d0ac6effed9c0f7df1ddb7b2511cd694~c5_100x100.jpg?x-expires=1675346400&x-signature=vrlFvB%2Bz1MyRtmSp8o3zty07WEw%3D",Yes,"mbahaya",0
23,"gigihh<3","alphonsusgigih",https://www.tiktok.com/@alphonsusgigih,"bukan nya itu, gini di sana itu lagi ada masalah rasis polisi berkulit putuh menginjak leher polisi berkulit hitam sampai mati jadi mungkinwajarindogt",3-6-2020,619,"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/09e6e13e724f462a2075c31bd2201dee~c5_100x100.jpg?x-expires=1675346400&x-signature=S2OuvWYvqAHTmQGSK7Lv67xpOW8%3D",Yes,"mbahaya",0
24,"Scaryv","gameforlife73",https://www.tiktok.com/@gameforlife73,"tatakrama Ga Ad Jirr Toko Toko Ga Slah Apa Ap Di Bobol Toko Toko Brand Mahal Lagi",3-6-2020,479,"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tiktok-obj/1664774255013889.jpg?x-expires=1675346400&x-signature=S95ATqVZ7GL0xmkJlPRz06Jmgto%3D",Yes,"mbahaya",0
25,".","freshavucadu1",https://www.tiktok.com/@freshavucadu1,"Wieso macht Trump dagegen Nichts? Ich will Obama wieder",3-6-2020,14K,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88636f1ef5c7a95c2a2ab0a7cda608f5~c5_100x100.jpg?x-expires=1675346400&x-signature=EK5j5b3PG6lpMezf5lOWlXHCUzY%3D",No,---,3
26,"👻","___g____i_____n_____a___",https://www.tiktok.com/@___g____i_____n_____a___,"er will das Militär einsetzen..",3-6-2020,990,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/78894764214d4585e3d80ef715d30513~c5_100x100.jpg?x-expires=1675346400&x-signature=IWohEImOtHTLFnrCntg%2FmykYqX0%3D",Yes,".",0
27,"kasumi 💫","celinatfs",https://www.tiktok.com/@celinatfs,"hat er doch schon oder nicht?",3-6-2020,330,"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c76592f421651876484dc787d4f998a9~c5_100x100.jpg?x-expires=1675346400&x-signature=zOHYKX1ddFMdz5NFCwrQ6PvoRzQ%3D",Yes,".",0
