Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
191,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,"Shut up already. The only one going to prison is the Democratic criminals. Biden, Hunter, Harris, Obama. Get your facts straight",12-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,blairo385,0
192,TheJoka♠️,delece2u,https://www.tiktok.com/@delece2u,SIKE!!!!,3-9-2022,0,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/6973430888356904966~c5_100x100.jpg?x-expires=1675346400&x-signature=kVpO0WqlvRYmyRPGIstSmaWSUtI%3D,No,---,0
193,Justin Chernick,jcandastrid,https://www.tiktok.com/@jcandastrid,he just sold out his Country and betrayed YOU!,3-9-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c0c1528b3222b6c873d19fda9a979305~c5_100x100.jpg?x-expires=1675346400&x-signature=YVvopxOPRF1lpRZmGzien5d8f8w%3D,No,---,1
194,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,Yeah right. Educate yourself please,12-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,Justin Chernick,0
195,El,313v3n7,https://www.tiktok.com/@313v3n7,Girl please check yourself !!!,2-9-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/85ad45538491562a81cea9d7b61b0ec7~c5_100x100.jpg?x-expires=1675346400&x-signature=7fLzCqaY21DX6Wg2WNYOE%2Fgza2s%3D,No,---,0
196,BrIaNnA😏😏💀💀,brixannamxmullxn,https://www.tiktok.com/@brixannamxmullxn,This girl 🤨🤨,30-8-2022,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c09c24251987a699b6cf8dce98184482~c5_100x100.jpg?x-expires=1675346400&x-signature=G933C%2F%2BmnRbWtYb7UdpQsxKQSDw%3D,No,---,0
197,Imax709,imax709,https://www.tiktok.com/@imax709,then explain why he hid COVID from us and half of the world was killed,29-8-2022,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/775b3f9ee04486a4d0e7a541b381fc60~c5_100x100.jpg?x-expires=1675346400&x-signature=pkypnizfFRbPHL3XTEqFEzPuQNc%3D,No,---,0
198,5643367896433,665456788t,https://www.tiktok.com/@665456788t,"Sorry, but your boy is a sellout to America.",27-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7082473438807343150~c5_100x100.jpg?x-expires=1675346400&x-signature=zxVAybQUAG16Av15TrLb5uQXrqM%3D,No,---,0
199,gigiof3littles,gigiof3littles,https://www.tiktok.com/@gigiof3littles,😂,25-8-2022,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/6981212701066919942~c5_100x100.jpg?x-expires=1675346400&x-signature=XhiHADzoXYV2aQB6tylmxKgC12c%3D,No,---,0
200,Amyiable,amyiable2,https://www.tiktok.com/@amyiable2,Trump has committed too many felonies. He steals money from his supporters.,22-8-2022,2,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1693982835549189~c5_100x100.jpg?x-expires=1675346400&x-signature=l8wBvODUXxQxovRs6rRdavvrdwc%3D,No,---,0
